ID;City;Place names;Place2 names;Latitude;Longitude;A;C;E;H;N;R;SP;S   H;B;L
86;Arbil;amusement park  of Ainkawa;ãÏíäÉ ÇáÚÇÈ ÚíäßÇæÇ;36.235613;43.989129;1;;;;1;;;;;1
87;Arbil;amusement park  of Family Fan;ãÏíäÉ ÇáÚÇÈ İÇãáí İÇä;36.21381;44.046828;1;;;;1;;;;;1
88;Arbil;Ainkawa Park;ÍÏíŞÉ ÚíäßÇæÇ;36.229491;43.989503;;;1;;1;;1;;;1
89;Arbil;Plain pf Harer;Óåá ÍÑíÑ;36.173746;44.010507;;1;;;1;;;;;1
90;Arbil;Historic Arbil Castle;ŞáÚÉ ÇÑÈíá ÇáÊÇÑíÎíÉ;36.191179;44.009128;;1;;;1;;;;;1
91;Arbil;Castle of nobles;ŞáÚÉ ÇáäÈáÇÁ;36.173929;44.013956;;1;;;1;;;;;1
92;Arbil;The Jolly Minaret;ãÆĞäÉ Ìæáí (ÇáãÙİÑíÉ;36.18806;44.003034;;1;;;;1;;;;
93;Arbil;Rawanduz;ÑÇæäÏæÒ;36.608538;44.523869;1;1;1;;1;;;1;1;1
94;Arbil;Tourist Bank Resort;ãäÊÌÚ ÈÇäß ÇáÓíÇÍí;36.616837;44.505014;1;1;1;;1;;;1;1;1
95;Arbil;Magdy Mall;ãÇÌÏí ãæá;36.209606;44.044718;;;;;;;;1;1;1
96;Arbil;Holler Mall;åæáíÑ ãæá;36.19674;44.017722;;;;;;;;1;1;1
97;Arbil;Rhine Mall;ÑÇíä ãæá;36.180237;44.014354;;;;;;;;1;1;1
98;Arbil;city ??center;ÓÊí ÓäÊÑ;36.180418;44.024444;;;;;;;;1;1;1
99;Arbil;Tablo Mall;ÊÇÈáæ ãæá;36.171388;44.013631;;;;;;;;1;1;1
100;Sulaymaniyah;Mount Azmar;ÌÈá ÇÒãÑ;35.58287;45.465295;1;1;1;;1;;;;;1
101;Sulaymaniyah;Mount Koige;ÌÈá ßæíÌå;35.545;45.517778;1;1;1;;1;;;;;
102;Sulaymaniyah;the aquatic city;ÇáãÏíäÉ ÇáãÇÆíÉ;35.58196;45.467988;1;;;;;1;;;;
